doc_no,pv-sat-001,date:,"april_26,_2016",_source_file,_folder,_project,pv-sat-002,09-25-2017,pv-sat-003,09/05/2018,pv-sat-004,10-30-2016,pv-sat-005,10/03/2016,date,vendor,amount,mode,bank,project,remarks,pv-sat-008,"december_31,_2017",pv-sat-009,02/04/2016,pv-sat-010,"november_17,_2017",pv-sat-011,25-jan-2016,pv-sat-012,23-mar-2015,pv-sat-013,03-feb-2018,pv-sat-014,24/07/2016,cheque,pv-sat-016,"october_07,_2015",pv-sat-017,11/05/2016,pv-sat-021,11/12/2016,pv-sat-022,19.06.2016,30/07/07,05-09-2006,pv-sat-006,"may_07,_2007",12-01-2007,"october_18,_2007",13/10/07,10-28-2007,16/07/2006,04.01.2007,01/11/2011,07-apr-2013,16-aug-2012,11-14-2011,pv-sat-007,09-05-2013,30/01/12,2013/11/19,06-30-2013,25/11/2012,pv-sat-015,2013/07/16,19.10.2011,2013/08/26,pv-sat-023,"december_19,_2011",pv-sat-024,05/07/2013,pv-sat-028,"may_30,_2013",pv-sat-029,17/03/2012
APPROVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_010.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_010.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-011,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_011.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,2013-01-19,Iqbal Electrical Contractors,1163346.86,NEFT,Bank Al-Falah,SATTI_PLAZA,Need receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_PLAZA_PayVoucher_012.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,Ahmad & Bros Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SATTI_PLAZA,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_012.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,674496.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_012.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 674,496 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_PLAZA_PayVoucher_012.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,NEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HBL,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_012.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_012.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,Contractor Bill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_012.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_012.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-013,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_013.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,2013-05-12,Fazal Bricks & Tiles,768467.6,Pay Order,UBL,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_PLAZA_PayVoucher_014.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metro Plumbing Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SATTI_PLAZA,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_014.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880298.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_014.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 1,880,298 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_PLAZA_PayVoucher_014.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bank Al-Falah,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_014.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_014.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,Security Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_014.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_014.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_PLAZA_PayVoucher_015.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allied Cables & Wires,SATTI_PLAZA,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_015.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PKR 1,171,540",,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_015.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 1,171,539 only",,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_PLAZA_PayVoucher_015.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online Transfer,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_015.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_015.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_015.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Director,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_015.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,
PV-SAT-016,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_016.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,2013-04-05,Bismillah Timber Mart,1615160.36,Cash,Meezan,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_PLAZA_PayVoucher_017.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bismillah Timber Mart,,,,,,,,,,,,,,,,,,,,,,,,,,,,SATTI_PLAZA,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_017.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2316881.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_017.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 2,316,881 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_PLAZA_PayVoucher_017.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCB,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_017.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_017.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contractor Bill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_017.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_017.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-018,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_018.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,2012-10-14,Bismillah Timber Mart,760275.38,Cheque,UBL,SATTI_PLAZA,Verified,,,,,,,,,,,,,,,CHQ-996531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-019,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_019.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,2012-10-29,Pak Steel Traders,1926339.85,,Bank Al-Falah,SATTI_PLAZA,Advance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-020,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_020.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,2014-02-13,Qamar Civil Engineers,34667.35,,UBL,SATTI_PLAZA,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-021,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_021.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,2014-05-06,Ahmad & Bros Construction,588139.36,,,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_PLAZA_PayVoucher_022.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Green Marble & Granite,,,,,,,,,,,,,,,,,,,,,,,,,SATTI_PLAZA,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_022.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2115275.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_022.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 2,115,275 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_PLAZA_PayVoucher_022.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NBP,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_022.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_022.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material Purchase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_022.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_022.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_PLAZA_PayVoucher_023.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metro Plumbing Supplies,SATTI_PLAZA,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_023.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445883.58,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_023.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 1,445,883 only",,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_PLAZA_PayVoucher_023.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online Transfer,HBL,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_023.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_023.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Security Deposit,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_023.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Director,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_023.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_PLAZA_PayVoucher_024.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pioneer Generators Ltd,SATTI_PLAZA,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_024.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067169.77,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_024.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 1,067,169 only",,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_PLAZA_PayVoucher_024.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meezan,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_024.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_024.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material Purchase,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_024.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Director,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_024.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,
PV-SAT-025,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_025.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,2013-02-05,Metro Plumbing Supplies,2443222.12,Pay Order,NBP,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-026,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_026.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,2013-11-28,Rehman Plumbing Works,969152.43,Cash,Bank Al-Falah,SATTI_PLAZA,Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-027,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_027.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,2014-05-07,Crown Cement Pvt Ltd,432702.0,Cheque,HBL,SATTI_PLAZA,OK,,,,,,,,,,,,,,,CHQ-966621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_PLAZA_PayVoucher_028.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crown Cement Pvt Ltd,SATTI_PLAZA,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_028.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2278806.55,,,
IN WORDS:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_028.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 2,278,806 only",,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_PLAZA_PayVoucher_028.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online Transfer,Allied,,
CHEQUE #:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_028.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_028.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_028.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Satti,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_028.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,________________________,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_PLAZA_PayVoucher_029.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karachi Sanitary Depot,SATTI_PLAZA
AMOUNT (RS.):,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_029.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1298736.54,
IN WORDS:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_029.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 1,298,736 only",
PAY MODE:,,Bank:,,payment_vouchers\SATTI_PLAZA_PayVoucher_029.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online Transfer,NBP
CHEQUE #:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_029.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_029.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utility Bills,
APPROVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_029.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_PLAZA_PayVoucher_029.xlsx,payment_vouchers,SATTI_PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,________________________,
